Date,Cell Count,Min Cell Age (days),MAX Cell Age (days),Cell Restart Age (days)
19-MAR-20,272,61,1239,
20-MAR-20,272,62,1240,
21-MAR-20,272,63,1241,
22-MAR-20,272,64,1242,
23-MAR-20,272,65,1243,
24-MAR-20,272,66,1244,
25-MAR-20,272,67,1245,
26-MAR-20,272,68,1246,
27-MAR-20,272,69,1247,
28-MAR-20,272,70,1248,
29-MAR-20,272,71,1249,
30-MAR-20,272,72,1250,
31-MAR-20,272,73,1251,
01-APR-20,272,74,1252,
02-APR-20,272,75,1253,
03-APR-20,272,76,1254,
04-APR-20,272,77,1255,
05-APR-20,272,78,1256,
06-APR-20,272,79,1257,
07-APR-20,272,80,1258,
08-APR-20,272,81,1259,
09-APR-20,272,82,1260,
10-APR-20,272,83,1261,
11-APR-20,272,84,1262,
12-APR-20,272,85,1263,
13-APR-20,272,86,1264,
14-APR-20,272,87,1265,
15-APR-20,272,88,1266,
16-APR-20,272,89,1267,
17-APR-20,271,90,1268,
18-APR-20,271,91,1269,
19-APR-20,271,92,1270,
20-APR-20,271,93,1271,
21-APR-20,271,94,1272,
22-APR-20,271,95,1273,
23-APR-20,271,96,1274,
24-APR-20,271,97,1275,
25-APR-20,271,98,1276,
26-APR-20,271,99,1277,
27-APR-20,271,100,1278,
28-APR-20,271,101,1279,
29-APR-20,271,102,1280,
30-APR-20,271,103,1281,
01-MAY-20,271,104,1282,
02-MAY-20,271,105,1283,
03-MAY-20,271,106,1284,
04-MAY-20,271,107,1285,
05-MAY-20,271,108,1286,
06-MAY-20,271,109,1287,
07-MAY-20,271,110,1288,
08-MAY-20,271,111,1289,
09-MAY-20,271,112,1290,
10-MAY-20,271,113,1291,
11-MAY-20,270,114,1292,
12-MAY-20,270,115,1293,
13-MAY-20,270,116,1294,
14-MAY-20,269,117,1295,
15-MAY-20,269,118,1296,
16-MAY-20,269,119,1297,
17-MAY-20,269,120,1298,
18-MAY-20,269,121,1299,
19-MAY-20,269,122,1300,
20-MAY-20,269,123,1301,
21-MAY-20,269,124,1302,
22-MAY-20,270,28,1303,
23-MAY-20,270,29,1304,
24-MAY-20,270,30,1305,
25-MAY-20,270,31,1306,
26-MAY-20,270,32,1307,
27-MAY-20,270,33,1308,
28-MAY-20,270,34,1309,
29-MAY-20,270,35,1310,
30-MAY-20,270,36,1311,
31-MAY-20,269,37,1312,
01-JUN-20,269,38,1313,
02-JUN-20,269,39,1314,
03-JUN-20,268,40,1315,
04-JUN-20,268,41,1316,
05-JUN-20,268,42,1317,
06-JUN-20,268,43,1318,
07-JUN-20,268,44,1319,
08-JUN-20,268,45,1320,
09-JUN-20,269,46,1321,1
10-JUN-20,269,47,1322,2
11-JUN-20,269,48,1323,3
12-JUN-20,269,49,1324,4
13-JUN-20,269,50,1325,5
14-JUN-20,270,28,1326,6
15-JUN-20,270,29,1327,7
16-JUN-20,270,30,1328,8
17-JUN-20,271,28,1329,9
18-JUN-20,271,29,1330,10
19-JUN-20,271,30,1331,11
20-JUN-20,271,31,1332,12
